instrumento,nota,volumen,dura,empieza,termina
-1.0,44,113,0.004999999999999893,2.7,2.705
-1.0,46,116,0.0050000000000003375,3.15,3.1550000000000002
-1.0,44,113,0.0050000000000003375,3.9,3.9050000000000002
-1.0,49,119,0.009999999999999787,5.1000000000000005,5.11
-1.0,46,119,0.004999999999999893,5.625,5.63
-1.0,46,127,0.004999999999999893,7.95,7.955
-1.0,49,127,0.009999999999999787,9.9,9.91
-1.0,46,122,0.004999999999999005,10.425,10.43
-1.0,46,119,0.005000000000000782,13.5,13.505
-1.0,49,122,0.009999999999999787,14.700000000000001,14.71
-1.0,46,119,0.005000000000000782,15.0,15.005
-1.0,46,122,0.004999999999999005,17.55,17.555
-1.0,42,127,0.007500000000000284,19.5,19.5075
-1.0,46,116,0.004999999999999005,20.1,20.105
-1.0,65,127,0.005000000000002558,29.7,29.705000000000002
-1.0,68,116,0.005000000000002558,47.4,47.405
-1.0,68,116,0.0049999999999954525,78.60000000000001,78.605
-1.0,68,116,0.005000000000009663,109.8,109.805
-1.0,68,116,0.0049999999999954525,141.0,141.005
-1.0,65,127,0.0049999999999954525,155.625,155.63
-1.0,65,117,0.0049999999999954525,275.85,275.855
-1.0,65,117,0.0049999999999954525,340.65000000000003,340.65500000000003
-1.0,68,110,0.0049999999999954525,364.8,364.805
-1.0,57,100,1.1999999999999886,418.5,419.7
0.0,46,101,0.41249999999999964,20.400000000000002,20.8125
0.0,53,107,0.41249999999999964,20.85,21.262500000000003
0.0,51,105,1.1999999999999993,21.3,22.5
0.0,53,77,0.18749999999999822,22.650000000000002,22.8375
0.0,46,101,0.41249999999999964,22.8,23.2125
0.0,53,107,0.41249999999999964,23.25,23.6625
0.0,51,105,1.2000000000000028,23.7,24.900000000000002
0.0,53,105,0.14999999999999858,25.05,25.2
0.0,46,101,0.4125000000000014,25.2,25.6125
0.0,53,107,0.41249999999999964,25.650000000000002,26.0625
0.0,51,105,1.1999999999999993,26.1,27.3
0.0,58,112,0.14999999999999858,27.6,27.75
0.0,56,103,0.11250000000000071,27.75,27.8625
0.0,53,98,0.14999999999999858,27.900000000000002,28.05
0.0,51,95,0.14999999999999858,28.05,28.2
0.0,49,106,0.15000000000000213,28.2,28.35
0.0,51,103,0.14999999999999858,28.35,28.5
0.0,53,107,0.15000000000000213,28.5,28.650000000000002
0.0,40,105,0.14999999999999858,28.650000000000002,28.8
0.0,58,96,0.26250000000000107,30.0,30.262500000000003
0.0,57,64,0.07499999999999929,30.3,30.375
0.0,58,90,0.18750000000000178,30.45,30.637500000000003
0.0,63,78,0.1950000000000017,30.75,30.945
0.0,58,100,0.14999999999999858,31.05,31.2
0.0,64,83,0.16499999999999843,31.35,31.515
0.0,58,101,0.14999999999999858,31.650000000000002,31.8
0.0,64,86,0.13500000000000156,31.95,32.085
0.0,63,87,0.33749999999999974,32.4,32.7375
0.0,65,85,0.34499999999999886,33.0,33.345
0.0,58,105,0.375,33.6,33.975
0.0,56,95,0.33750000000000213,34.05,34.3875
0.0,57,79,0.22500000000000142,34.35,34.575
0.0,58,100,0.26250000000000284,34.65,34.9125
0.0,55,87,0.14999999999999858,34.95,35.1
0.0,59,70,0.07500000000000284,35.1,35.175000000000004
0.0,58,95,0.1875,35.25,35.4375
0.0,63,86,0.13124999999999787,35.550000000000004,35.681250000000006
0.0,66,81,0.2500000000000024,35.85,36.1
0.0,64,91,0.07499999999999574,36.300000000000004,36.375
0.0,60,80,0.22500000000000142,36.15,36.375
0.0,63,97,0.14999999999999858,36.45,36.6
0.0,64,68,0.14999999999999858,36.75,36.9
0.0,60,12,0.07500000000000284,36.9,36.975
0.0,61,95,0.22500000000000142,36.75,36.975
0.0,60,92,0.29999999999999716,37.050000000000004,37.35
0.0,71,56,0.07500000000000284,37.5,37.575
0.0,69,95,0.22500000000000142,37.35,37.575
0.0,64,90,0.22500000000000142,37.65,37.875
0.0,67,75,0.20624999999999893,37.95,38.15625
0.0,52,107,0.30000000000000426,38.25,38.550000000000004
0.0,55,85,0.14999999999999858,38.550000000000004,38.7
0.0,59,87,0.14999999999999858,38.7,38.85
0.0,57,97,0.4125000000000014,38.85,39.2625
0.0,63,82,0.07499999999999574,39.45,39.525
0.0,59,102,0.22499999999999432,39.300000000000004,39.525
0.0,55,100,0.375,39.15,39.525
0.0,58,96,0.2624999999999993,39.6,39.8625
0.0,57,55,0.07500000000000284,39.9,39.975
0.0,58,95,0.18749999999999645,40.050000000000004,40.2375
0.0,63,80,0.13124999999999964,40.35,40.48125
0.0,61,92,0.15000000000000568,40.65,40.800000000000004
0.0,67,75,0.14999999999999858,40.95,41.1
0.0,55,91,0.22500000000000142,41.25,41.475
0.0,60,80,0.07499999999999574,41.550000000000004,41.625
0.0,67,100,0.375,41.25,41.625
0.0,57,40,0.07500000000000284,42.0,42.075
0.0,60,103,0.5249999999999986,41.7,42.225
0.0,63,81,0.29999999999999716,42.300000000000004,42.6
0.0,62,100,0.22500000000000142,42.6,42.825
0.0,53,29,0.14999999999999858,42.75,42.9
0.0,63,52,0.07500000000000284,42.9,42.975
0.0,57,87,0.22500000000000142,42.75,42.975
0.0,64,89,0.19999999999999574,43.050000000000004,43.25
0.0,64,79,0.20624999999999893,43.35,43.55625
0.0,60,78,0.35625000000000107,43.65,44.00625
0.0,58,101,0.5625,44.1,44.6625
0.0,68,80,0.2624999999999993,44.7,44.962500000000006
0.0,55,63,0.6000000000000014,44.4,45.0
0.0,63,92,0.29999999999999716,44.7,45.0
0.0,55,70,0.15000000000000568,45.15,45.300000000000004
0.0,58,86,0.30000000000000426,45.0,45.300000000000004
0.0,60,102,0.07499999999999574,45.300000000000004,45.375
0.0,60,101,0.2624999999999993,45.45,45.712500000000006
0.0,65,67,0.2550000000000011,45.75,46.005
0.0,69,113,0.29999999999999716,46.050000000000004,46.35
0.0,70,10,0.14999999999999858,46.35,46.5
0.0,64,86,0.4499999999999993,46.5,46.95
0.0,66,105,0.22500000000000142,47.1,47.325
0.0,63,78,0.5999999999999943,46.800000000000004,47.4
0.0,59,76,0.8999999999999986,46.5,47.4
0.0,69,98,0.45000000000000284,47.4,47.85
0.0,58,82,0.07500000000000284,47.85,47.925000000000004
0.0,58,97,0.07500000000000284,48.15,48.225
0.0,58,102,0.07499999999999574,48.45,48.525
0.0,58,105,0.14999999999999858,48.6,48.75
0.0,57,88,0.5249999999999986,49.2,49.725
0.0,57,93,0.46874999999999645,49.800000000000004,50.26875
0.0,56,89,0.5437500000000046,50.4,50.94375
0.0,55,73,0.375,51.0,51.375
0.0,52,88,0.6187500000000004,51.6,52.21875
0.0,58,92,0.3374999999999986,52.800000000000004,53.1375
0.0,61,93,0.25,53.25,53.5
0.0,59,86,1.1999999999999957,53.7,54.9
0.0,52,47,1.6500000000000057,53.4,55.050000000000004
0.0,69,107,1.5,53.7,55.2
0.0,57,84,0.39374999999999893,55.2,55.59375
0.0,59,82,0.28125000000000355,55.65,55.931250000000006
0.0,59,82,1.21875,56.1,57.31875
0.0,57,91,0.375,57.6,57.975
0.0,61,88,0.2749999999999986,58.050000000000004,58.325
0.0,69,110,1.4250000000000043,58.5,59.925000000000004
0.0,52,80,1.875,58.050000000000004,59.925000000000004
0.0,59,86,1.4250000000000043,58.5,59.925000000000004
0.0,60,98,1.125,60.0,61.125
0.0,58,96,0.2624999999999993,61.2,61.462500000000006
