instrumento_nombre,instrumento,nota,nota_nombre,volumen,empieza,dura
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
Percussion,-1,-1,Silencio,0.0,0.0,217.31501812499997
