instrumento_nombre,instrumento,nota,nota_nombre,volumen,empieza,dura
Percussion,-1,73,C#5,127.0,2.6146802499999997,0.068807375
Percussion,-1,73,C#5,127.0,2.6146802499999997,0.068807375
Percussion,-1,-1,Silencio,0.0,2.6834876249999997,0.068807375
Percussion,-1,-1,Silencio,0.0,2.6834876249999997,0.068807375
Percussion,-1,53,F#3,116.0,2.7522949999999997,0.1032110625
Percussion,-1,53,F#3,116.0,2.7522949999999997,0.1032110625
Percussion,-1,53,F#3,116.0,2.7522949999999997,0.1032110625
Percussion,-1,-1,Silencio,0.0,2.8555060625,0.03440368749999978
Percussion,-1,65,F4,119.0,2.8899097499999997,0.068807375
Percussion,-1,65,F4,119.0,2.8899097499999997,0.068807375
Percussion,-1,65,F4,127.0,2.9587171249999997,0.068807375
Percussion,-1,65,F4,127.0,2.9587171249999997,0.068807375
Percussion,-1,62,D4,127.0,3.0275244999999997,0.08600921875
Percussion,-1,62,D4,127.0,3.0275244999999997,0.08600921875
Percussion,-1,62,D4,127.0,3.0275244999999997,0.08600921875
Percussion,-1,-1,Silencio,0.0,3.11353371875,0.05160553124999989
Percussion,-1,73,C#5,127.0,3.1651392499999997,0.068807375
Percussion,-1,73,C#5,127.0,3.1651392499999997,0.068807375
Percussion,-1,-1,Silencio,0.0,3.2339466249999997,0.06880737499999956
Percussion,-1,-1,Silencio,0.0,3.2339466249999997,0.06880737499999956
Percussion,-1,56,G#3,118.0,3.3027539999999993,0.08256885
Percussion,-1,56,G#3,118.0,3.3027539999999993,0.08256885
Percussion,-1,-1,Silencio,0.0,3.385322849999999,0.19266065000000054
Percussion,-1,-1,Silencio,0.0,3.385322849999999,0.19266065000000054
Percussion,-1,-1,Silencio,0.0,3.385322849999999,0.19266065000000054
Percussion,-1,-1,Silencio,0.0,3.385322849999999,0.19266065000000054
Percussion,-1,-1,Silencio,0.0,3.385322849999999,0.19266065000000054
Percussion,-1,-1,Silencio,0.0,3.385322849999999,0.19266065000000054
Percussion,-1,61,C#4,127.0,3.5779834999999998,0.09174316666666667
Percussion,-1,61,C#4,127.0,3.5779834999999998,0.09174316666666667
Percussion,-1,61,C#4,127.0,3.5779834999999998,0.09174316666666667
Percussion,-1,-1,Silencio,0.0,3.6697266666666666,0.04587158333333319
Percussion,-1,69,A4,127.0,3.7155982499999998,0.068807375
Percussion,-1,69,A4,127.0,3.7155982499999998,0.068807375
Percussion,-1,-1,Silencio,0.0,3.7844056249999998,0.068807375
Percussion,-1,-1,Silencio,0.0,3.7844056249999998,0.068807375
Percussion,-1,53,F#3,116.0,3.8532129999999998,0.1032110625
Percussion,-1,53,F#3,116.0,3.8532129999999998,0.1032110625
Percussion,-1,53,F#3,116.0,3.8532129999999998,0.1032110625
Percussion,-1,-1,Silencio,0.0,3.9564240625,0.03440368749999978
Percussion,-1,65,F4,127.0,3.99082775,0.068807375
Percussion,-1,65,F4,127.0,3.99082775,0.068807375
Percussion,-1,-1,Silencio,0.0,4.059635125,0.06880737500000045
