instrumento_nombre,instrumento,nota,nota_nombre,volumen,dura,empieza,termina
Electric Guitar (clean),27,69,A4,127,0.41284425000000624,96.88078399999999,97.29362825
Electric Guitar (clean),27,66,F#4,127,0.41284425000000624,96.88078399999999,97.29362825
Electric Guitar (clean),27,67,G4,124,0.4816516249999978,97.431243,97.91289462499999
Electric Guitar (clean),27,64,E4,108,0.5504590000000036,97.431243,97.981702
Electric Guitar (clean),27,58,A#3,127,0.5504590000000036,97.431243,97.981702
Electric Guitar (clean),27,69,A4,127,0.6880737500000009,98.2569315,98.94500525
Electric Guitar (clean),27,66,F#4,127,0.6880737500000009,98.2569315,98.94500525
Electric Guitar (clean),27,60,C4,127,0.6880737500000009,98.2569315,98.94500525
Electric Guitar (clean),27,60,C4,127,0.41284425000000624,99.08261999999999,99.49546425
Electric Guitar (clean),27,69,A4,127,0.41284425000000624,99.08261999999999,99.49546425
Electric Guitar (clean),27,66,F#4,127,0.41284425000000624,99.08261999999999,99.49546425
Electric Guitar (clean),27,67,G4,124,0.5504590000000036,99.633079,100.183538
Electric Guitar (clean),27,64,E4,99,0.5504590000000036,99.633079,100.183538
Electric Guitar (clean),27,58,A#3,127,0.5504590000000036,99.633079,100.183538
Electric Guitar (clean),27,69,A4,127,0.6192663750000094,100.4587675,101.078033875
Electric Guitar (clean),27,60,C4,127,0.6192663750000094,100.4587675,101.078033875
Electric Guitar (clean),27,66,F#4,127,0.6880737500000009,100.4587675,101.14684125
Electric Guitar (clean),27,60,C4,127,0.41284425000000624,101.28445599999999,101.69730025
Electric Guitar (clean),27,66,F#4,127,0.41284425000000624,101.28445599999999,101.69730025
Electric Guitar (clean),27,69,A4,127,0.41284425000000624,101.28445599999999,101.69730025
Electric Guitar (clean),27,67,G4,127,0.4816516249999978,101.834915,102.316566625
Electric Guitar (clean),27,64,E4,124,0.5504590000000036,101.834915,102.385374
Electric Guitar (clean),27,58,A#3,127,0.5504590000000036,101.834915,102.385374
Electric Guitar (clean),27,69,A4,127,0.6192663750000094,102.6606035,103.279869875
Electric Guitar (clean),27,66,F#4,127,0.6192663750000094,102.6606035,103.279869875
Electric Guitar (clean),27,60,C4,127,0.6192663750000094,102.6606035,103.279869875
Electric Guitar (clean),27,62,D4,124,0.20642212500000312,103.48629199999999,103.692714125
Electric Guitar (clean),27,67,G4,112,0.20642212500000312,103.48629199999999,103.692714125
Electric Guitar (clean),27,59,B3,102,0.20642212500000312,103.48629199999999,103.692714125
Electric Guitar (clean),27,67,G4,105,0.4816516249999978,104.58721,105.068861625
Electric Guitar (clean),27,55,G3,97,0.4816516249999978,104.58721,105.068861625
Electric Guitar (clean),27,64,E4,102,0.2064221249999889,105.137669,105.34409112499999
Electric Guitar (clean),27,52,E3,86,0.2064221249999889,105.137669,105.34409112499999
Electric Guitar (clean),27,53,F3,99,0.13761474999999734,105.4128985,105.55051325
Electric Guitar (clean),27,65,F4,94,0.20642212500000312,105.4128985,105.619320625
Electric Guitar (clean),27,66,F#4,97,0.41284425000000624,105.68812799999999,106.10097225
Electric Guitar (clean),27,54,F#3,112,0.41284425000000624,105.68812799999999,106.10097225
Electric Guitar (clean),27,52,E3,99,0.13761474999999734,106.238587,106.37620174999999
Electric Guitar (clean),27,64,E4,94,0.20642212500000312,106.238587,106.445009125
Electric Guitar (clean),27,66,F#4,99,0.13761475000001155,106.51381649999999,106.65143125
