cancion,artista,fecha-lanzamiento,generos
Yemaya,Mexican Institute of Sound,2020-06-26,"electronic, electronica, latin, cumbia"
Cumbéalo // Tropidelico,Superfónicos,2019-05-10,"indie rock, funk, cumbia"
La Maltratada,La Dame Blanche,2020-09-11,"hip hop, reggae, cumbia"
Misa de Gallo,La Sonora San Francisco,2015-06-09,"electronic, electronica, latin, cumbia"
Culebra Coral,M.A.K.U. Soundsystem,2019-11-22,"dance, reggae, latin, cumbia"
Unexpected,Qechuaboi,2017-12-07,"electronic, dance, latin, cumbia"
Menu,Qechuaboi,2012-07,"electronic, dance, latin, cumbia"
Mal agradecido / Guaba,Gladys Santos,1984,"salsa, latin, cumbia, guaguancó"
La cumbia del Chinche / El Boleta,Candeleros,2018-12-17,"fusion, psychedelic, merengue, cumbia"
Todo junto se escribe separado,Qechuaboi,2015-06-06,"electronic, dance, latin, cumbia"
Eso quisiera / Nunca,La Banda de las Estrellas,1990,"salsa, latin, cumbia, porro"
Memoria,Combo Chimbita,2021-09-07,"rock, punk, psychedelic, cumbia"
Something Sign,Juan Diego Illescas,2020-01-27,"electronic, folk, electronica, cumbia"
Tengo un sueño qe no me deja dormir,Qechuaboi,2015-12-30,"electronic, dance, latin, cumbia"
Así son las samarias / Cumbia de pescadores,Memo Argote y Su Grupo Majestad,1983,"salsa, latin, cumbia, porro"
"Eqivocate, confúndete, pero nunca te huevees!",Qechuaboi,2014-01-23,"electronic, dance, latin, cumbia"
Trocitos de madera,La Yegros,2009-08-29,"electronic, dubstep, house, latin, cumbia"
Fue una lágrima / Cae la lluvia,Elia y Elisabeth,2020-12-21,"funk, soul, salsa, afrobeat, cumbia"
Toyota Man,Neon Indian,2019-11-14,"pop, indie pop, latin, cumbia"
Amparito,Desorden Público,2015-11-18,"rock, ska, reggae, rocksteady, cumbia"
K le pasa,El Dusty,2011-11-28,"electronic, latin, electro house, cumbia"
Son Palenque Feat El 'Leon Pardo' (Cerrero Dub Mix),Son Palenque,2018-09-04,"reggae, dub, latin, afrobeat, cumbia"
Hotline Bling/Doombia,Quantic,2018-05-11,"electronic, hip hop, latin, cumbia"
K le pasa (remix),El Dusty,2011-11-28,"electronic, latin, electro house, cumbia"
Romie (Remix),Deela,2017-09-01,"electronic, hip hop, reggaeton, cumbia"
Pista (Great Start),Los Bitchos,2019-08-12,"dance, experimental, indie pop, cumbia"
Toyota Man,Neon Indian,2019-11-14,"pop, indie pop, latin, cumbia"
Tripping Party / FFF,Los Bitchos,2018-03-01,"instrumental, experimental, indie pop, cumbia"
Amparito,Desorden Público,2015-11-18,"rock, ska, reggae, rocksteady, cumbia"
Cumbia Reaction,Rolando Bruno y Su Orquesta Midi,2016,"rock, garage rock, latin, cumbia"
