titulo,tipo,artista,fecha-lanzamiento,generos
Bailando con...Los Yungas,Album,Los Yungas,1975,"psychedelic, latin, cumbia"
Pelu y pelao,Album,Louie Colon y su Combo,1975,"salsa, latin, merengue, cumbia, bolero, guaguancó"
"La música brava!, vol. 11",Album,Don Medardo y sus Players,1975,cumbia
Tropical Florida,Album,Tropical Florida,1975,"pop, latin, cumbia, bolero"
La amenaza verde,Album,Los Wembler’s de Iquitos,1975,"rock, psychedelic rock, psychedelic, latin, cumbia, guaracha"
Tirense con la escoba,Album,Los Mirlos,1976,"psychedelic, salsa, latin, cumbia"
Vuelvo a cantar,Album,Chema Ramos y su Conjunto,1976,"latin, cumbia, porro"
Vida truncada,Album,Los Ases de Durango,1976,"latin, cumbia, bolero, ranchera, norteño"
A Bailar Con La Orquesta Los Caribes,Album,Los Caribes,1976,"salsa, latin, merengue, cumbia"
Ojos azules,Album,Los Destellos,1976,"psychedelic, latin, calypso, cumbia, descarga, guaguancó"
Tirense con la escoba,Album,Los Mirlos,1976,"psychedelic, salsa, latin, cumbia"
Clan Tropical,Album,clan tropical,1977,"salsa, latin, cumbia, guaracha, guaguancó"
Sabrosa salsa,Album,Pete Vicentini,1977,"salsa, latin, cumbia, guaguancó"
Fiesta en la selva,Album,Los Wembler’s de Iquitos,1977,"latin, cumbia"
Colegiala / Sueñas que te amo,Single,Los Ilusionistas,1977,"latin, cumbia"
Clan Tropical,Album,clan tropical,1977,"salsa, latin, cumbia, guaracha, guaguancó"
El Estilo Elegante Del Poderoso...,Album,Grupo Naranja,1977,"latin, cumbia"
El Estilo Elegante Del Poderoso...,Album,Grupo Naranja,1977,"latin, cumbia"
Mi canoita,Album,Policarpo Calle y Su Conjunto,1978,"latin, merengue, cumbia, porro"
Cumbia amazónica,Album,Los Mirlos,1978,"latin, cumbia"
La negra candelosa,Album,Policarpo Calle y los Tremendos,1978,"latin, cumbia, vallenato, porro"
La Gitana Enamorada,Album,La Super Banda de Don Filemón,1978,"latin, cumbia, guaracha"
La negra candelosa,Album,Policarpo Calle y los Tremendos,1978,"latin, cumbia, vallenato, porro"
